date,ct1_close,ct2_close,ct3_close,atm_iv_30d,ct1_ct2_spread,ct2_ct3_spread,si_carry_approx,pct_si_approx,hv30,hv60,iv_hv30_ratio,atm_iv_zscore_1yr,iv_hv30_ratio_zscore,pct_si_zscore_1yr,ct1_ct2_zscore
2023-04-13,83.35,83.19,82.88,35.62,0.16,0.31,1.7154,-9.33,30.5498,28.6523,1.166,,,0.5832,-0.5595
2023-04-14,82.86,82.93,82.8,30.72,-0.07,0.13,1.7112,4.09,29.868,28.249,1.0285,,,0.6233,-0.5901
2023-04-17,83.3,83.28,82.88,29.7,0.02,0.4,1.715,-1.17,29.8649,28.0608,0.9945,,,0.6064,-0.577
2023-04-18,84.55,84.83,84.21,30.31,-0.28,0.62,1.7257,16.23,30.132,27.0503,1.0059,,,0.6582,-0.6168
2023-04-19,83.24,83.65,83.5,29.8,-0.41,0.15,1.7145,23.91,29.7053,27.1701,1.0032,,,0.6801,-0.6331
2023-04-20,79.24,80.09,80.58,30.71,-0.85,-0.49,1.6801,50.59,32.9833,28.8251,0.9311,,,0.7594,-0.6914
2023-04-21,78.41,80.15,80.38,29.89,-1.74,-0.23,1.673,104.0,33.0715,28.8547,0.9038,,,0.9185,-0.81
2023-04-24,78.98,80.69,81.28,29.65,-1.71,-0.59,1.6779,101.91,29.7996,28.8186,0.995,,,0.9095,-0.8039
2023-04-25,77.0,78.62,79.37,29.9,-1.62,-0.75,1.6609,97.54,28.5136,29.2067,1.0486,,,0.8917,-0.7879
2023-04-26,76.51,78.36,79.16,29.77,-1.85,-0.8,1.6567,111.67,28.5166,28.9586,1.044,,,0.9284,-0.8139
2023-04-27,78.63,80.4,80.62,29.98,-1.77,-0.22,1.6749,105.68,28.6365,29.4146,1.0469,,,0.904,-0.7976
2023-04-28,79.03,80.8,81.1,28.51,-1.77,-0.3,1.6783,105.46,28.6766,29.4221,0.9942,,,0.8978,-0.7928
2023-05-01,81.31,81.21,81.13,28.11,0.1,0.08,1.6979,-5.89,29.3625,29.9772,0.9573,,,0.559,-0.5368
2023-05-02,80.37,80.49,80.41,27.87,-0.12,0.08,1.6898,7.1,29.4863,29.9839,0.9452,,,0.5942,-0.5627
2023-05-03,78.76,79.04,79.07,27.81,-0.28,-0.03,1.676,16.71,30.0587,29.8155,0.9252,,,0.6185,-0.5796
2023-05-04,81.76,81.4,81.16,29.03,0.36,0.24,1.7018,-21.15,31.8941,30.2651,0.9102,,,0.4972,-0.4861
2023-05-05,83.9,83.24,83.01,29.33,0.66,0.23,1.7201,-38.37,32.4954,30.7474,0.9026,,,0.4377,-0.4384
2023-05-08,83.3,83.0,82.9,28.37,0.3,0.1,1.715,-17.49,32.274,30.7772,0.879,,,0.4974,-0.4835
2023-05-09,80.99,81.01,81.12,28.54,-0.02,-0.11,1.6952,1.18,31.6756,31.2938,0.901,,,0.551,-0.5235
2023-05-10,80.76,80.76,80.81,28.57,0.0,-0.05,1.6932,-0.0,29.7407,31.2775,0.9606,,,0.5413,-0.5146
2023-05-11,79.62,79.6,79.75,28.74,0.02,-0.15,1.6834,-1.19,29.9725,31.3932,0.9589,,,0.5314,-0.5056
2023-05-12,80.53,80.15,80.22,27.68,0.38,-0.07,1.6912,-22.47,30.0536,30.7392,0.921,,,0.4554,-0.446
2023-05-15,82.37,81.78,81.73,28.19,0.59,0.05,1.707,-34.56,30.7373,30.9232,0.9171,,,0.409,-0.4081
2023-05-16,83.38,82.5,82.3,27.91,0.88,0.2,1.7157,-51.29,30.9079,30.9051,0.903,,,0.3466,-0.3577
2023-05-17,86.94,83.89,83.61,30.57,3.05,0.28,1.7462,-174.66,32.7161,32.0033,0.9344,,,-0.0765,-0.019
2023-05-18,86.66,83.72,83.44,27.85,2.94,0.28,1.7438,-168.6,32.7509,31.8595,0.8504,,,-0.0637,-0.0281
2023-05-19,86.72,83.89,83.62,27.29,2.83,0.27,1.7443,-162.24,31.9706,31.8588,0.8536,,,-0.0493,-0.0378
2023-05-22,85.32,83.38,83.19,27.27,1.94,0.19,1.7323,-111.99,32.2428,31.3545,0.8458,,,0.1145,-0.1679
2023-05-23,84.35,82.44,82.31,27.32,1.91,0.13,1.724,-110.79,32.4367,31.4412,0.8423,,,0.1106,-0.1647
2023-05-24,81.72,80.28,80.27,28.31,1.44,0.01,1.7014,-84.64,33.7493,32.0453,0.8388,,,0.1949,-0.2322
2023-05-25,80.12,78.5,78.64,30.73,1.62,-0.14,1.6877,-95.99,34.0361,32.0663,0.9029,,,0.1464,-0.1952
2023-05-26,83.35,80.54,80.66,29.05,2.81,-0.12,1.7154,-163.81,35.9944,32.7947,0.8071,,,-0.109,0.0104
2023-05-30,83.99,80.21,80.22,32.22,3.78,-0.01,1.7209,-219.65,36.0298,32.8134,0.8943,,,-0.3228,0.1813
2023-05-31,83.48,79.47,79.56,31.92,4.01,-0.09,1.7165,-233.61,35.8025,32.8086,0.8916,,,-0.3855,0.2305
2023-06-01,86.42,81.58,81.49,31.25,4.84,0.09,1.7418,-277.87,36.8935,33.2186,0.847,,,-0.5625,0.383
2023-06-02,86.05,81.85,81.65,28.77,4.2,0.2,1.7386,-241.57,33.71,33.2305,0.8535,,,-0.4406,0.2864
2023-06-05,84.79,81.42,81.21,30.39,3.37,0.21,1.7278,-195.05,33.8763,33.359,0.8971,,,-0.2784,0.1558
2023-06-06,85.34,81.78,81.48,32.73,3.56,0.3,1.7325,-205.48,33.8678,31.678,0.9664,,,-0.3362,0.205
2023-06-07,85.01,81.23,81.02,36.9,3.78,0.21,1.7297,-218.54,32.8835,30.782,1.1221,,,-0.4031,0.2587
2023-06-08,84.31,81.63,81.46,30.21,2.68,0.17,1.7237,-155.48,32.9362,30.8356,0.9172,,,-0.1634,0.0692
2023-06-09,84.04,81.82,81.61,22.41,2.22,0.21,1.7213,-128.97,32.1753,30.2602,0.6965,,,-0.0681,-0.0045
2023-06-12,83.49,81.32,81.36,21.65,2.17,-0.04,1.7166,-126.41,32.2622,30.2999,0.6711,,,-0.0729,0.0006
2023-06-13,82.72,81.02,81.11,21.32,1.7,-0.09,1.71,-99.42,31.3989,30.1474,0.679,,,0.0266,-0.0768
2023-06-14,81.79,80.11,80.18,22.08,1.68,-0.07,1.702,-98.71,31.3882,30.1989,0.7034,,,0.0143,-0.0663
2023-06-15,80.64,79.6,79.71,22.18,1.04,-0.11,1.6922,-61.46,31.086,30.3181,0.7135,,,0.1706,-0.1884
