date,kc1_close,kc2_close,kc3_close,atm_iv_30d,kc1_kc2_spread,kc2_kc3_spread,hv30,hv60,iv_hv30_ratio,atm_iv_zscore_1yr,iv_hv30_ratio_zscore,kc1_kc2_zscore
2025-05-07,343.15,326.4,312.7,35.46,16.75,13.7,35.24,35.54,1.0062,,,
2025-05-08,346.1,329.45,315.8,36.03,16.65,13.65,35.11,34.48,1.0262,,,
2025-05-09,347.0,330.05,316.4,36.18,16.95,13.65,34.47,34.04,1.0496,,,
2025-05-12,334.5,318.15,304.85,36.01,16.35,13.3,36.13,34.41,0.9967,,,
2025-05-13,339.6,323.9,311.05,35.83,15.7,12.85,36.37,34.47,0.9852,,,
2025-05-14,332.2,317.0,304.35,36.06,15.2,12.65,36.02,34.77,1.0011,,,
2025-05-15,339.15,324.05,311.35,36.09,15.1,12.7,36.52,34.83,0.9882,,,
2025-05-16,332.5,318.15,306.35,36.1,14.35,11.8,36.85,34.43,0.9796,,,
2025-05-19,340.1,325.8,314.4,36.76,14.3,11.4,33.94,34.67,1.0831,,,
2025-05-20,336.7,322.8,311.65,36.63,13.9,11.15,30.42,34.67,1.2041,,,
2025-05-21,337.85,324.1,312.85,36.59,13.75,11.25,30.42,34.35,1.2028,,,
2025-05-22,331.0,317.85,307.05,36.75,13.15,10.8,31.11,34.62,1.1813,,,
2025-05-23,330.6,317.7,307.7,37.0,12.9,10.0,31.12,34.62,1.1889,,,
2025-05-27,331.2,318.25,308.65,37.44,12.95,9.6,30.51,34.62,1.2271,,,
2025-05-28,323.7,311.35,302.15,37.41,12.35,9.2,31.14,34.04,1.2013,,,
2025-05-29,319.55,307.25,298.15,36.78,12.3,9.1,30.61,33.86,1.2016,,,
2025-05-30,314.4,302.25,294.2,36.7,12.15,8.05,30.53,33.24,1.2021,,,
2025-06-02,315.4,302.85,294.75,36.03,12.55,8.1,30.56,30.6,1.179,,,
2025-06-03,313.85,302.05,294.3,35.78,11.8,7.75,30.16,30.56,1.1863,,,
